Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.6290454907058953,miakhalifa,Mia Khalifa,https://www.tiktok.com/@miakhalifa,2.2764262755512945,2.1500493317487903,1.0714788705587077,0.6233399797961685,0.016802055976053963,2022-02-07 16:54:35.641971
All,-1.6255831198436086,domelipa,Dominik,https://www.tiktok.com/@domelipa,3.812387653626404,1.2771821609567018,1.6457987460007732,1.3444184061250855,-0.019556728627675324,2022-02-07 16:54:35.641971
All,-1.6221207489813219,deepins,deepins,https://www.tiktok.com/@deepins,0.8784255002973032,1.2771821609567018,1.3586388082797405,1.1126431976622193,-0.005847678695121658,2022-02-07 16:54:35.641971
All,-1.6186583781190351,kennethkaas,Kenneth Kaas,https://www.tiktok.com/@kennethkaas,-0.6389111963969555,1.7668393543278735,1.0714788705587077,1.086890396721901,-0.014192317784502152,2022-02-07 16:54:35.641971
All,-1.6151960072567484,swagboygorringe,Daniel Gorringe,https://www.tiktok.com/@swagboygorringe,-0.23445669579304573,0.42560443335466364,0.7408142022729384,2.6191820526708494,0.08594335128806375,2022-02-07 16:54:35.641971
All,-1.6117336363944617,official_nct,NCT Official,https://www.tiktok.com/@official_nct,-0.0045223577578497225,0.06368389912379749,0.571389839017529,3.984080502507728,0.14912419010765893,2022-02-07 16:54:35.641971
All,-1.608271265532175,jao,JÃO,https://www.tiktok.com/@jao,-0.5471673955209123,0.9365510699158864,1.0714788705587077,1.421676808946041,-0.00942395259057044,2022-02-07 16:54:35.641971
All,-1.6048088946698882,kjsmoothh,Kjsmoothh,https://www.tiktok.com/@kjsmoothh,-0.46439103382824176,0.6384988652551732,0.5926396744088854,0.9323735910799901,0.10799704030999793,2022-02-07 16:54:35.641971
All,-1.6013465238076017,loganpaul,Logan Paul,https://www.tiktok.com/@loganpaul,0.6392937887406991,1.8094182407079753,1.5022187771402569,0.5460815769752131,-0.0380341437541607,2022-02-07 16:54:35.641971
All,-1.597884152945315,pongamoslo_a_prueba,Pongámoslo a Prueba,https://www.tiktok.com/@pongamoslo_a_prueba,1.9361234552592044,2.022312672608485,1.7893787148612896,0.005272757228525453,-0.03028555031402167,2022-02-07 16:54:35.641971
All,-1.5944217820830282,nei.okey,nei.okey,https://www.tiktok.com/@nei.okey,-0.6474463590248221,0.3191572174044089,0.9278989016981913,2.7865752587829196,0.013225782080605182,2022-02-07 16:54:35.641971
All,-1.5909594112207415,bintangemontersenyum,Gusti Bintang,https://www.tiktok.com/@bintangemontersenyum,-0.5579651120350452,0.42560443335466364,0.3795670006198791,1.872350825401614,0.14435582491372723,2022-02-07 16:54:35.641971
All,-1.5874970403584547,mero_428,Mero_428,https://www.tiktok.com/@mero_428,-0.5287726484780967,-0.6632867174868724,-0.549682557845383,-0.20074965029402222,31.526755303126038,2022-02-07 16:54:35.641971
All,-1.584034669496168,zeth,Zeth,https://www.tiktok.com/@zeth,0.32658308901283256,1.0217088426760903,1.215058839419224,0.18554236381075467,0.0162060103268125,2022-02-07 16:54:35.641971
All,-1.5805722986338813,addisonre,Addison Rae,https://www.tiktok.com/@addisonre,7.3073895917613845,1.2346032745765998,0.9278989016981913,1.0740139962517417,-0.022536956873882644,2022-02-07 16:54:35.641971
All,-1.5771099277715945,savanahmosss,Savanah Moss,https://www.tiktok.com/@savanahmosss,0.14263561858467572,1.4049188200970073,1.6457987460007732,0.18554236381075467,-0.023729048172365572,2022-02-07 16:54:35.641971
All,-1.573647556909308,kaliandarie,Kali and arie,https://www.tiktok.com/@kaliandarie,-0.6182630928413949,1.0642877290561923,1.5022187771402569,0.4301939727437801,-0.019556728627675324,2022-02-07 16:54:35.641971
All,-1.5701851860470213,nilered,NileRed,https://www.tiktok.com/@nilered,0.12424087154186005,0.5959199788750713,1.0714788705587077,0.8036095863783977,0.009053462535914936,2022-02-07 16:54:35.641971
All,-1.5667228151847346,.raquel_e,"Fe, Fuerza y Esperanza 🙏🏻",https://www.tiktok.com/@.raquel_e,-0.5823289544932545,0.7449460812054279,-0.3719305563960637,-0.41964845828672914,0.7046387352007032,2022-02-07 16:54:35.641971
All,-1.5632604443224478,mackenzieziegler,Mackenzie Ziegler,https://www.tiktok.com/@mackenzieziegler,1.3750836704533265,1.4049188200970073,1.6457987460007732,0.35293556992282465,-0.043398554597333876,2022-02-07 16:54:35.641971
