founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2012.5448798988623,468.0,64.0,,2012.5448798988623,468.0,64.0
2018.0,216.0,21.0,5.0,2018.0,216.0,21.0
2017.0,206.0,10.0,6.0,2017.0,206.0,10.0
2017.0,111.0,1.0,6.0,2017.0,111.0,1.0
2018.0,75.0,1.0,5.0,2018.0,75.0,1.0
2018.0,94.0,1.0,5.0,2018.0,94.0,1.0
2021.0,75.0,1.0,2.0,2021.0,75.0,1.0
2020.0,98.0,1.0,3.0,2020.0,98.0,1.0
2011.0,678.0,55.0,12.0,2011.0,678.0,55.0
2019.0,214.0,1.0,4.0,2019.0,214.0,1.0
2012.0,475.0,1.0,11.0,2012.0,475.0,1.0
2012.5448798988623,62.0,1.0,,2012.5448798988623,62.0,1.0
2017.0,592.0,1.0,6.0,2017.0,592.0,1.0
2016.0,188.0,1.0,7.0,2016.0,188.0,1.0
2014.0,437.0,35.0,9.0,2014.0,437.0,35.0
2017.0,88.0,1.0,6.0,2017.0,88.0,1.0
2015.0,133.0,1.0,8.0,2015.0,133.0,1.0
2008.0,240.0,1.0,15.0,2008.0,240.0,1.0
2020.0,183.0,27.0,3.0,2020.0,183.0,27.0
2012.5448798988623,139.0,1.0,,2012.5448798988623,139.0,1.0
2012.5448798988623,438.0,1.0,,2012.5448798988623,438.0,1.0
2008.0,841.0,114.0,15.0,2008.0,841.0,114.0
2017.0,114.0,1.0,6.0,2017.0,114.0,1.0
2019.0,118.0,1.0,4.0,2019.0,118.0,1.0
2015.0,742.0,1.0,8.0,2015.0,742.0,1.0
2016.0,126.0,1.0,7.0,2016.0,126.0,1.0
2017.0,284.0,1.0,6.0,2017.0,284.0,1.0
2012.0,349.0,23.0,11.0,2012.0,349.0,23.0
2017.0,639.0,1.0,6.0,2017.0,639.0,1.0
2012.5448798988623,242.0,1.0,,2012.5448798988623,242.0,1.0
2014.0,521.0,61.0,9.0,2014.0,521.0,61.0
2018.0,338.0,1.0,5.0,2018.0,338.0,1.0
2012.5448798988623,127.0,1.0,,2012.5448798988623,127.0,1.0
2012.5448798988623,119.0,1.0,,2012.5448798988623,119.0,1.0
2015.0,216.0,5.0,8.0,2015.0,216.0,5.0
2012.5448798988623,251.0,1.0,,2012.5448798988623,251.0,1.0
2018.0,160.0,1.0,5.0,2018.0,160.0,1.0
2014.0,901.0,60.0,9.0,2014.0,901.0,60.0
2008.0,432.0,1.0,15.0,2008.0,432.0,1.0
2012.5448798988623,127.0,1.0,,2012.5448798988623,127.0,1.0
2019.0,180.0,1.0,4.0,2019.0,180.0,1.0
2009.0,245.0,1.0,14.0,2009.0,245.0,1.0
2015.0,611.0,9.0,8.0,2015.0,611.0,9.0
2021.0,88.0,1.0,2.0,2021.0,88.0,1.0
2020.0,890.0,1.0,3.0,2020.0,890.0,1.0
2019.0,205.0,1.0,4.0,2019.0,205.0,1.0
2015.0,537.0,1.0,8.0,2015.0,537.0,1.0
2012.5448798988623,119.0,1.0,,2012.5448798988623,119.0,1.0
2014.0,290.0,1.0,9.0,2014.0,290.0,1.0
2018.0,291.0,1.0,5.0,2018.0,291.0,1.0
2016.0,491.0,1.0,7.0,2016.0,491.0,1.0
2015.0,99.0,3.0,8.0,2015.0,99.0,3.0
2016.0,860.0,61.0,7.0,2016.0,860.0,61.0
2018.0,154.0,1.0,5.0,2018.0,154.0,1.0
2009.0,74.0,1.0,14.0,2009.0,74.0,1.0
2011.0,210.0,13.0,12.0,2011.0,210.0,13.0
2022.0,95.0,1.0,1.0,2022.0,95.0,1.0
2015.0,84.0,1.0,8.0,2015.0,84.0,1.0
2016.0,341.0,1.0,7.0,2016.0,341.0,1.0
2012.5448798988623,793.0,1.0,,2012.5448798988623,793.0,1.0
2020.0,118.0,1.0,3.0,2020.0,118.0,1.0
2018.0,484.0,1.0,5.0,2018.0,484.0,1.0
2014.0,267.0,1.0,9.0,2014.0,267.0,1.0
2018.0,128.0,1.0,5.0,2018.0,128.0,1.0
2015.0,187.0,1.0,8.0,2015.0,187.0,1.0
2021.0,135.0,1.0,2.0,2021.0,135.0,1.0
2014.0,299.0,1.0,9.0,2014.0,299.0,1.0
2014.0,238.0,1.0,9.0,2014.0,238.0,1.0
2016.0,258.0,1.0,7.0,2016.0,258.0,1.0
1999.0,36.0,1.0,24.0,1999.0,36.0,1.0
2011.0,724.0,1.0,12.0,2011.0,724.0,1.0
2014.0,160.0,1.0,9.0,2014.0,160.0,1.0
2019.0,98.0,1.0,4.0,2019.0,98.0,1.0
2019.0,92.0,1.0,4.0,2019.0,92.0,1.0
2013.0,523.0,6.0,10.0,2013.0,523.0,6.0
2016.0,676.0,1.0,7.0,2016.0,676.0,1.0
2017.0,307.0,1.0,6.0,2017.0,307.0,1.0
2011.0,145.0,1.0,12.0,2011.0,145.0,1.0
2009.0,263.0,11.0,14.0,2009.0,263.0,11.0
2015.0,328.0,1.0,8.0,2015.0,328.0,1.0
2015.0,223.0,1.0,8.0,2015.0,223.0,1.0
2021.0,101.0,1.0,2.0,2021.0,101.0,1.0
2001.0,611.0,8.0,22.0,2001.0,611.0,8.0
2008.0,897.0,1.0,15.0,2008.0,897.0,1.0
2012.5448798988623,252.0,1.0,,2012.5448798988623,252.0,1.0
2021.0,117.0,1.0,2.0,2021.0,117.0,1.0
2020.0,60.0,1.0,3.0,2020.0,60.0,1.0
2014.0,538.0,34.0,9.0,2014.0,538.0,34.0
1998.0,74.0,1.0,25.0,1998.0,74.0,1.0
